Column1,공급사,과세/면세,담기,매입가,상품명(기본),수정후,상품코드,재입고알림,제조사,reg_카테고리,대분류,판매가,품절여부,후기,한식,중식,일식,양식,분식,카페
471,패커스,과세,0,112640,친환경 펄프용기 L014 400개(1세트),,1668,사용함,자체제작,샐러드 초밥 도시락용기 일식 양식 용기 펄프용기 직화용기 한식(분식) 중식,용기,148800,품절,0,,,,,,
472,패커스,과세,0,158400,친환경 펄프용기 T055 600개(1세트),,1667,사용함,자체제작,샐러드 초밥 도시락용기 일식 양식 용기 펄프용기 직화용기 한식(분식) 중식,용기,203600,품절,0,,,,,,
473,패커스,과세,0,167640,친환경 펄프용기 T056 600개(1세트),,1666,사용함,자체제작,샐러드 초밥 도시락용기 일식 양식 용기 펄프용기 직화용기 한식(분식) 중식,용기,215600,품절,0,,,,,,
474,패커스,과세,12,60500,친환경 일체형 펄프용기 B003 500개(1BOX),,1665,사용함,자체제작,샐러드 초밥 도시락용기 일식 양식 용기 펄프용기 직화용기 한식(분식) 중식,용기,77000,품절,1,,,,,,
475,패커스,과세,1,53900,친환경 일체형 펄프용기 B026 250개(1BOX),,1664,사용함,자체제작,샐러드 초밥 도시락용기 일식 양식 용기 펄프용기 직화용기 한식(분식) 중식,용기,69000,품절,1,,,,,,
477,패커스,과세,0,128040,친환경 펄프용기 L066 600개(1BOX),,1659,사용함,자체제작,샐러드 초밥 도시락용기 일식 양식 용기 펄프용기 직화용기 한식(분식) 중식,용기,170000,품절,0,,,,,,
478,패커스,과세,0,122760,친환경 펄프용기 L065 400개(1BOX),,1658,사용함,자체제작,샐러드 초밥 도시락용기 일식 양식 용기 펄프용기 직화용기 한식(분식) 중식,용기,161000,품절,0,,,,,,
518,패커스,과세,6,20900,2칸 285 타원접시 100개 1박스,,1606,사용함,자체제작,원형접시 면 탕 찜 요리접시 용기 중식 볶음밥용기,용기,29000,정상,0,,,,,,
519,패커스,과세,6,25300,330 타원접시 100개 1박스,,1605,사용함,자체제작,원형접시 탕 찜 요리접시 용기 중식,용기,45700,정상,2,,,,,,
520,패커스,과세,76,17600,275 타원접시 100개 1박스,,1604,사용함,자체제작,면 탕 요리접시 찜 용기 중식 볶음밥용기,용기,28900,정상,9,,,,,,
521,패커스,과세,18,34100,300 원형접시 100개 1박스,,1603,사용함,자체제작,원형접시 탕 찜 요리접시 용기 중식,용기,40500,정상,2,,,,,,
522,패커스,과세,27,29700,270 원형접시 100개 1박스,,1602,사용함,자체제작,원형접시 탕 찜 요리접시 용기 중식,용기,38300,정상,2,,,,,,
523,패커스,과세,36,33000,250 원형접시 200개 1박스,,1601,사용함,자체제작,원형접시 면 탕 찜 요리접시 용기 중식 볶음밥용기,용기,45000,정상,13,,,,,,
524,패커스,과세,28,26400,230 원형접시 200개 1박스,,1600,사용함,자체제작,원형접시 면 탕 찜 요리접시 용기 중식 볶음밥용기,용기,40000,정상,9,,,,,,
526,패커스,과세,1,30800,"반찬용기 J-32 2,000개(1BOX)",,1598,사용함,자체제작,반찬용기 떡 일식 양식 중식 용기 한식(분식),용기,46800,정상,0,,,,,,
527,패커스,과세,0,40500,"친환경 빨대 100% 생분해 3,000개(1BOX)",,1594,사용함,자체제작,베이커리 카페 친환경 용기 커피스틱 빨대,용기,59000,정상,0,,,,,,
528,패커스,과세,0,30800,"반찬용기 J-43 2,000개(1BOX)",,1582,사용함,자체제작,반찬용기 떡 일식 양식 중식 용기 한식(분식),용기,46800,정상,0,,,,,,
529,패커스,과세,0,26400,"반찬용기 J-30 1,500개(1BOX)",,1581,사용함,자체제작,반찬용기 떡 일식 양식 중식 용기 한식(분식),용기,41500,정상,0,,,,,,
530,패커스,과세,0,33000,"반찬용기 J-15 2,000개(1BOX)",,1580,사용함,자체제작,반찬용기 떡 일식 양식 중식 용기 한식(분식),용기,49600,정상,0,,,,,,
531,패커스,과세,0,19800,"떡용기 J-8 1,000개(1BOX)",,1579,사용함,자체제작,반찬용기 떡용기 떡 용기 한식(분식),용기,33000,정상,0,,,,,,
532,패커스,과세,1,26400,"떡용기 J-23 1,500개(1BOX)",,1578,사용함,자체제작,반찬용기 떡용기 떡 용기 한식(분식),용기,41500,정상,0,,,,,,
533,패커스,과세,0,22000,"떡용기 J-신3 1,000개(1BOX)",,1577,사용함,자체제작,반찬용기 떡용기 떡 용기 한식(분식),용기,36300,정상,0,,,,,,
534,패커스,과세,3,35200,무지 종이용기 850ml 500개(1BOX),,1575,사용함,자체제작,무지종이용기 분식용기 밥용기 국 일식 양식 중식 용기 한식(분식) 소스,용기,46000,정상,1,,,,,,
535,패커스,과세,1,39600,"무지 종이용기 1,000ml 500개(1BOX)",,1574,사용함,자체제작,무지종이용기 분식용기 밥용기 국 일식 양식 중식 용기 한식(분식) 소스,용기,50000,정상,0,,,,,,
536,패커스,과세,1,41580,"무지 종이용기 1,100ml 450개(1BOX)",,1573,사용함,자체제작,무지종이용기 분식용기 밥용기 국 일식 양식 중식 용기 한식(분식) 소스,용기,54000,정상,0,,,,,,
537,패커스,과세,0,40400,"무지 종이용기 1,350ml 300개(1BOX)",,1572,사용함,자체제작,무지종이용기 분식용기 밥용기 국 일식 양식 중식 용기 한식(분식) 소스,용기,57000,정상,0,,,,,,
538,패커스,과세,0,42380,"무지 종이용기 1,500ml 300개(1BOX)",,1571,사용함,자체제작,무지종이용기 분식용기 밥용기 국 일식 양식 중식 용기 한식(분식) 소스,용기,57000,정상,0,,,,,,
539,패커스,과세,0,104500,"친환경 일체형 펄프용기 B004 1,000개(1BOX)",,1570,사용함,자체제작,샐러드 초밥 도시락용기 일식 양식 용기 펄프용기 직화용기 한식(분식) 중식,용기,150000,품절,0,,,,,,
540,패커스,과세,1,57200,친환경 일체형 펄프용기 B001 500개(1BOX),,1569,사용함,자체제작,샐러드 초밥 도시락용기 일식 양식 용기 펄프용기 직화용기 한식(분식) 중식,용기,72000,품절,0,,,,,,
541,패커스,과세,6,85800,친환경 일체형 펄프용기 B030 500개(1BOX),,1568,사용함,자체제작,샐러드 초밥 도시락용기 일식 양식 용기 펄프용기 직화용기 한식(분식) 중식,용기,107000,품절,1,,,,,,
542,패커스,과세,2,40700,"친환경 펄프접시 P004 1,000개(1BOX)",,1567,사용함,자체제작,샐러드 초밥 도시락용기 일식 양식 용기 펄프용기 직화용기 한식(분식) 중식,용기,56300,품절,0,,,,,,
543,패커스,과세,0,57750,친환경 펄프접시 P005 500개(1BOX),,1566,사용함,자체제작,샐러드 초밥 도시락용기 일식 양식 용기 펄프용기 직화용기 한식(분식) 중식,용기,74000,품절,0,,,,,,
544,패커스,과세,1,41800,친환경 펄프접시 P006 500개(1BOX),,1565,사용함,자체제작,샐러드 초밥 도시락용기 일식 양식 용기 펄프용기 직화용기 한식(분식) 중식,용기,56500,품절,0,,,,,,
545,패커스,과세,1,60500,"친환경 펄프접시 P011 1,000개(1BOX)",,1564,사용함,자체제작,샐러드 초밥 도시락용기 일식 양식 용기 펄프용기 직화용기 한식(분식) 중식,용기,77000,품절,0,,,,,,
546,패커스,과세,1,51150,친환경 칸나눔 펄프용기 B002 500개(1BOX),,1563,사용함,자체제작,샐러드 초밥 도시락용기 일식 양식 용기 펄프용기 직화용기 한식(분식) 중식,용기,65800,품절,0,,,,,,
547,패커스,과세,0,51150,친환경 칸나눔 펄프용기 B031 250개(1BOX),,1562,사용함,자체제작,샐러드 초밥 도시락용기 일식 양식 용기 펄프용기 직화용기 한식(분식) 중식,용기,65800,품절,0,,,,,,
548,패커스,과세,0,63800,친환경 칸나눔 펄프용기 B032 250개(1BOX),,1561,사용함,자체제작,샐러드 초밥 도시락용기 일식 양식 용기 펄프용기 직화용기 한식(분식) 중식,용기,80500,품절,0,,,,,,
549,패커스,과세,1,28600,스티로폼 백색 18-1호 400개 1박스,,1545,사용함,자체제작,분식용기 농수산물 스트로폼용기 용기 한식(분식),용기,43000,정상,0,,,,,,
550,패커스,과세,1,19800,스티로폼 왕만두용기 대 600개 1박스,,1544,사용함,자체제작,분식용기 농수산물 스트로폼용기 용기 한식(분식),용기,31000,정상,0,,,,,,
551,패커스,과세,9,17160,스티로폼 왕만두 용기 600개 1박스,,1543,사용함,자체제작,분식용기 농수산물 스트로폼용기 용기 한식(분식),용기,27200,정상,0,,,,,,
552,패커스,과세,2,17160,스티로폼 위생 도시락용기 중 600개 1박스,,1542,사용함,자체제작,분식용기 농수산물 스트로폼용기 용기 한식(분식),용기,27200,정상,0,,,,,,
553,패커스,과세,2,48400,스티로폼 수산물접시 백색 77호 800개 1박스,,1541,사용함,자체제작,농수산물 용기 스트로폼용기,용기,81200,정상,0,,,,,,
554,패커스,과세,11,58300,"105파이 다용도컵 세트 5호 특대 400ml 블랙 PS 1,000개 1set(2박스)",,1540,사용함,자체제작,밥용기 국 반찬용기 떡 일식 양식 용기 중식 한식(분식) 소스,용기,78270,정상,3,,,,,,
555,패커스,과세,6,44000,"95파이 다용도컵 세트 4호 소 200ml 블랙 PS 1,000개 1set(2박스)",,1539,사용함,자체제작,밥용기 국 반찬용기 떡 일식 양식 용기 중식 한식(분식) 소스,용기,60720,정상,1,,,,,,
615,패커스,과세,1,52800,"스티로폼 수산물접시 흑색 27호 1,000개 1박스",,1458,사용함,자체제작,농수산물 용기 스트로폼용기,용기,69400,정상,0,,,,,,
616,패커스,과세,1,22550,스티로폼 수산물접시 흑색 18호 500개 1박스,,1457,사용함,자체제작,농수산물 용기 스트로폼용기,용기,33000,정상,0,,,,,,
617,패커스,과세,0,52800,스티로폼 수산물접시 흑색 58호 600개 1박스,,1456,사용함,자체제작,농수산물 용기 스트로폼용기,용기,79800,정상,0,,,,,,
618,패커스,과세,0,52800,"스티로폼 수산물접시 청그물 27호 1,000개 1박스",,1455,사용함,자체제작,농수산물 용기 스트로폼용기,용기,69400,정상,0,,,,,,
619,패커스,과세,0,45100,"스티로폼 수산물접시 청그물 18호 1,000개 1박스",,1454,사용함,자체제작,농수산물 용기 스트로폼용기,용기,61600,정상,0,,,,,,
620,패커스,과세,0,52800,스티로폼 수산물접시 청그물 58호 600개 1박스,,1453,사용함,자체제작,농수산물 용기 스트로폼용기,용기,79800,정상,0,,,,,,
621,패커스,과세,2,33090,유럽형 호프투명용기 500 188개 (1BOX),,1450,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,47800,정상,1,,,,,,
622,패커스,과세,0,18140,유럽형 호프투명용기 1000 97개 (1BOX),,1449,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,32000,정상,0,,,,,,
623,패커스,과세,0,15320,유럽형 호프투명용기 1500 63개 (1BOX),,1448,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,26700,정상,0,,,,,,
624,패커스,과세,0,19210,유럽형 갈색호프용기 1000 97개 (1BOX),,1447,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,32400,정상,2,,,,,,
625,패커스,과세,0,15940,유럽형 갈색 호프용기 1500 63개 (1BOX),,1446,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,27200,정상,0,,,,,,
626,패커스,과세,0,24830,호프 빗살 용기 1000 132개 (1BOX),,1445,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,39300,정상,0,,,,,,
627,패커스,과세,0,24830,호프 빗살 용기 1500 105개 (1BOX),,1444,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,37600,정상,0,,,,,,
628,패커스,과세,0,14790,생수1500 70개(1BOX),,1440,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,23800,정상,0,,,,,,
629,패커스,과세,0,12680,생수1800 60개(1BOX),,1439,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,21000,정상,0,,,,,,
630,패커스,과세,0,14990,생수2000 60개(1BOX),,1438,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,26000,정상,0,,,,,,
631,패커스,과세,3,22170,콩물식혜1800 65개 (1BOX),,1437,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,28200,정상,1,,,,,,
632,패커스,과세,1,24570,콩물식혜1500 77개 (1BOX),,1436,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,32300,품절,6,,,,,,
633,패커스,과세,0,26840,콩물식혜900 122개 (1BOX),,1435,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,41600,정상,0,,,,,,
634,패커스,과세,0,56100,실버400 204개 (1BOX),,1433,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,65000,정상,0,,,,,,
635,패커스,과세,0,51750,실버300 224개 (1BOX),,1432,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,69000,정상,0,,,,,,
636,패커스,과세,0,65840,실버250 315개 (1BOX),,1431,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,93000,정상,0,,,,,,
637,패커스,과세,0,79420,실버120 380개 (1BOX),,1429,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,104000,정상,0,,,,,,
638,패커스,과세,0,42240,실버100 256개 (1BOX),,1428,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,59000,정상,0,,,,,,
639,패커스,과세,0,42380,신형일자용기1000 120개 (1BOX),,1427,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,60000,정상,0,,,,,,
640,패커스,과세,0,34300,신형일자용기500 145개 (1BOX),,1426,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,56000,정상,0,,,,,,
641,패커스,과세,0,32400,N1000 원형 브릿지 95개 (1BOX),,1425,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,68500,정상,0,,,,,,
642,패커스,과세,0,37400,N500원형 브릿지 136개 (1BOX),,1424,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,70000,정상,0,,,,,,
643,패커스,과세,1,53900,우유 350 196개 (1BOX),,1423,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,67500,정상,0,,,,,,
644,패커스,과세,0,45700,우유 500 134개 (1BOX),,1422,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,54500,정상,0,,,,,,
645,패커스,과세,2,43650,우유 1000ml(1리터) 128개 (1BOX),,1421,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,64500,정상,0,,,,,,
646,패커스,과세,0,70840,신형볼 210 230개 (1BOX),,1420,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,105000,정상,0,,,,,,
647,패커스,과세,0,47880,케빈 750 136개 (1BOX),,1419,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,73500,정상,0,,,,,,
648,패커스,과세,0,58220,케빈 500 189개 (1BOX),,1418,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,82600,정상,0,,,,,,
649,패커스,과세,0,49500,케빈 250 180개 (1BOX),,1417,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,68000,정상,0,,,,,,
650,패커스,과세,0,62000,골드 500 172개 1set(2박스),,1416,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,83000,정상,0,,,,,,
651,패커스,과세,0,60020,골드 400 176개 1set(2박스),,1415,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,79000,정상,0,,,,,,
652,패커스,과세,0,60020,골드 350 176개 1set(2박스),,1414,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,79000,정상,0,,,,,,
653,패커스,과세,0,116160,골드 250 352개 1set(2박스),,1413,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,142500,정상,0,,,,,,
654,패커스,과세,1,36300,스티로폼 수산물접시 백색 58호 600개 1박스,,1407,사용함,자체제작,회접시 탕 농수산물 스트로폼용기 찜 일식 용기 면용기,용기,67000,정상,0,,,,,,
655,패커스,과세,0,52800,"스티로폼 고기접시 적그물 27호 1,000개 1박스",,1406,사용함,자체제작,회접시 탕 농수산물 스트로폼용기 찜 일식 용기 면용기,용기,69400,정상,0,,,,,,
656,패커스,과세,0,45100,"스티로폼 고기접시 적그물 18호 1,000개 1박스",,1405,사용함,자체제작,회접시 탕 농수산물 스트로폼용기 찜 일식 용기 면용기,용기,61600,정상,0,,,,,,
657,패커스,과세,0,52800,스티로폼 고기접시 적그물 58호 600개 1박스,,1404,사용함,자체제작,회접시 탕 농수산물 스트로폼용기 찜 일식 용기 면용기,용기,79800,정상,0,,,,,,
658,패커스,과세,0,52520,토마토 500 154개(1BOX),,1402,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,64000,정상,0,,,,,,
659,패커스,과세,0,51750,토마토 450 168개(1BOX),,1401,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,60700,정상,0,,,,,,
660,패커스,과세,2,54920,토마토 300 208개(1BOX),,1400,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,70400,정상,0,,,,,,
661,패커스,과세,0,66070,토마토 250 273개(1BOX),,1399,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,90300,정상,0,,,,,,
662,패커스,과세,0,82280,토마토 180 340개(1BOX),,1398,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,103800,정상,0,,,,,,
663,패커스,과세,0,42110,쥬스 500 132개(1BOX),,1397,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,52600,정상,0,,,,,,
664,패커스,과세,0,45150,쥬스 450 152개(1BOX),,1396,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,57800,정상,0,,,,,,
665,패커스,과세,0,68640,쥬스 210 312개(1BOX),,1395,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,89800,정상,0,,,,,,
666,패커스,과세,0,94600,쥬스 150 430개(1BOX),,1394,사용함,자체제작,쥬스 베이커리 더치커피용기 카페 용기 생수,용기,122200,정상,0,,,,,,
670,패커스,과세,3,22110,회접시 타원 330 볼록 소 300개 1박스,,1385,사용함,자체제작,회접시 탕 농수산물 스트로폼용기 찜 일식 용기 면용기,용기,37200,정상,0,,,,,,
671,패커스,과세,3,18040,회접시 타원 380 볼록 대 200개 1박스,,1384,사용함,자체제작,회접시 탕 농수산물 스트로폼용기 찜 일식 용기 면용기,용기,30600,정상,0,,,,,,
672,패커스,과세,0,22110,회접시 타원 330 민자 소 300개 1박스,,1383,사용함,자체제작,회접시 탕 농수산물 스트로폼용기 찜 일식 용기 면용기,용기,37200,정상,0,,,,,,
673,패커스,과세,1,18040,회접시 타원 380 민자 대 200개 1박스,,1382,사용함,자체제작,회접시 탕 농수산물 스트로폼용기 찜 일식 용기 면용기,용기,30600,정상,0,,,,,,
674,패커스,과세,1,17050,회접시 붕어 소 250개 1박스,,1381,사용함,자체제작,회접시 탕 농수산물 스트로폼용기 찜 일식 용기 면용기,용기,24500,정상,1,,,,,,
675,패커스,과세,4,12320,회접시 붕어 대 100개 1박스,,1380,사용함,자체제작,회접시 탕 농수산물 스트로폼용기 찜 일식 용기 면용기,용기,17500,정상,1,,,,,,
676,패커스,과세,0,50600,고강도 감자탕용기 특대 100개 1set(2박스),,1377,사용함,자체제작,회접시 탕 탕용기 죽 찜 일식 양식 용기 한식(분식) 면용기,용기,75000,정상,0,,,,,,
677,패커스,과세,26,56100,210파이 중화면용기 대 300개 1박스,,1375,사용함,자체제작,용기 볶음밥용기 면 중식,용기,74990,정상,22,,,,,,
678,패커스,과세,129,42900,210파이 중화면용기 중 300개 1박스,,1374,사용함,자체제작,용기 볶음밥용기 면 중식,용기,60900,정상,67,,,,,,
679,패커스,과세,119,34650,210파이 중화면용기 소 300개 1박스,,1373,사용함,자체제작,용기 볶음밥용기 면 중식,용기,52400,정상,68,,,,,,
680,패커스,과세,0,176000,"생크림용기 214 투명 2,000개 1set(2박스)",,1368,사용함,자체제작,빵용기 샌드위치 베이커리 카페 용기 쿠키,용기,254490,정상,0,,,,,,
681,패커스,과세,4,68200,"300파이 고강도 원형 찜용기 소 백색 2,500ml 100개 1set(2박스)",,1359,사용함,자체제작,회접시 탕 죽 찜 일식 요리접시 양식 용기 중식 한식(분식) 면용기 찜용기,용기,88480,정상,2,,,,,,
682,패커스,과세,1,73590,"300파이 고강도 원형 찜용기 중 백색 3,500ml 100개 1set(2박스)",,1358,사용함,자체제작,회접시 탕 죽 찜 일식 요리접시 양식 용기 중식 한식(분식) 면용기 찜용기,용기,93800,정상,0,,,,,,
683,패커스,과세,7,77000,"300파이 고강도 원형 찜용기 대 백색 4,000ml 100개 1set(2박스)",,1357,사용함,자체제작,회접시 탕 죽 찜 일식 요리접시 양식 용기 중식 한식(분식) 면용기 찜용기,용기,98360,정상,0,,,,,,
684,패커스,과세,0,81400,"300파이 고강도 원형 찜용기 특대 백색 4,500ml 100개 1set(2박스)",,1356,사용함,자체제작,회접시 탕 죽 찜 일식 요리접시 양식 용기 중식 한식(분식) 면용기 찜용기,용기,103530,정상,0,,,,,,
685,패커스,과세,0,118800,포기김치용기 투명 100개 1set(2박스/직사각6.5L),,1354,사용함,자체제작,탕 탕용기 반찬용기 떡 찜 죽 일식 양식 중식 용기 한식(분식) 면용기 죽용기 찜용기,용기,167640,정상,0,,,,,,
686,패커스,과세,0,92400,물김치용기 투명 100개 1set(2박스/직사각 5L),,1353,사용함,자체제작,탕 탕용기 반찬용기 떡 찜 죽 일식 양식 중식 용기 한식(분식) 면용기 죽용기 찜용기,용기,132360,정상,0,,,,,,
687,패커스,과세,2,108900,간장게장용기 투명 200개 1set(2박스/직사각 2.7L),,1352,사용함,자체제작,탕 탕용기 반찬용기 떡 찜 죽 일식 양식 중식 용기 한식(분식) 면용기 죽용기 찜용기,용기,154410,정상,1,,,,,,
688,패커스,과세,0,114400,양념게장용기 투명 400개 1set(2박스/1.1L),,1351,사용함,자체제작,회접시 면 탕 탕용기 반찬용기 떡 찜 죽 일식 양식 중식 용기 한식(분식) 볶음밥용기 면용기 찜용기,용기,161770,정상,1,,,,,,
702,패커스,과세,3,60390,반찬용기 104 1칸 블랙 900개 1set(2박스),,1322,사용함,자체제작,반찬용기 떡 일식 양식 중식 용기 한식(분식),용기,81880,정상,2,,,,,,
703,패커스,과세,1,60390,반찬용기 104 1칸 투명 900개 1set(2박스),,1321,사용함,자체제작,반찬용기 떡 일식 양식 중식 용기 한식(분식),용기,81880,정상,3,,,,,,
704,패커스,과세,0,59400,7cm 원형 쿠키 용기 (대) D-70 투명 200개 1박스,,1320,사용함,자체제작,빵용기 샌드위치 베이커리 카페 용기 쿠키,용기,85630,정상,0,,,,,,
705,패커스,과세,0,52800,7cm 원형 쿠키 용기 (소) D-60 투명 200개 1박스,,1319,사용함,자체제작,빵용기 샌드위치 베이커리 카페 용기 쿠키,용기,76310,정상,0,,,,,,
712,패커스,과세,6,118800,140파이 중식소스용기 투명 600개 1set(2박스/사발 소),,1304,사용함,자체제작,밥용기 국 일식 양식 용기 중식 한식(분식) 소스,용기,149140,정상,1,,,,,,
713,패커스,과세,8,85800,116파이 원형용기 대 투명 600개 1set(2박스),,1303,사용함,자체제작,밥용기 국 일식 양식 용기 중식 한식(분식) 소스,용기,115650,정상,2,,,,,,
714,패커스,과세,6,79200,116파이 원형용기 중 투명 600개 1set(2박스),,1302,사용함,자체제작,밥용기 국 일식 양식 용기 중식 한식(분식) 소스,용기,107110,정상,0,,,,,,
715,패커스,과세,9,72600,116파이 원형용기 소 투명 600개 1set(2박스),,1301,사용함,자체제작,밥용기 국 일식 양식 용기 중식 한식(분식) 소스,용기,98560,정상,6,,,,,,
717,패커스,과세,5,52800,285파이 타원 반반 접시 2칸 블랙 200개 1박스(기존),,1296,사용안함,자체제작,면 탕 요리접시 찜 용기 중식 볶음밥용기,용기,59900,정상,0,,,,,,
719,패커스,과세,71,41800,210파이 탕용기 소 백색 200개 1set(2박스),,1282,사용함,자체제작,회접시 면 탕 탕용기 죽 찜 일식 양식 용기 중식 한식(분식) 볶음밥용기 면용기 죽용기 찜용기,용기,57220,정상,17,,,,,,
720,패커스,과세,5,140800,사각밀폐용기 소 투명 800개 1set(2박스/직사각 500ml),,1278,사용함,자체제작,회접시 면 탕 탕용기 반찬용기 떡 찜 죽 일식 양식 중식 용기 한식(분식) 볶음밥용기 면용기 죽용기 찜용기,용기,177000,정상,0,,,,,,
721,패커스,과세,2,96800,사각밀폐용기 중 투명 400개 1set(2박스/직사각 850ml),,1277,사용함,자체제작,회접시 면 탕 탕용기 반찬용기 떡 찜 죽 일식 양식 중식 용기 한식(분식) 볶음밥용기 면용기 죽용기 찜용기,용기,123120,정상,1,,,,,,
722,패커스,과세,3,115500,사각밀폐용기 대 투명 300개 1set(2박스/삼계탕 용기),,1276,사용함,자체제작,회접시 면 탕 탕용기 반찬용기 떡 찜 죽 일식 양식 중식 용기 한식(분식) 볶음밥용기 면용기 죽용기 찜용기,용기,151170,정상,0,,,,,,
723,패커스,과세,16,44000,210파이 탕용기 대 백색 200개 1set(2박스),,1275,사용함,자체제작,회접시 면 탕 탕용기 죽 찜 일식 양식 용기 중식 한식(분식) 볶음밥용기 면용기 죽용기 찜용기,용기,60020,정상,7,,,,,,
724,패커스,과세,6,66000,우동용기 특대 검정 400개 1박스,,1274,사용함,자체제작,회접시 면 탕 죽 찜 일식 양식 용기 중식 한식(분식) 볶음밥용기 면용기,용기,85110,정상,2,,,,,,
736,패커스,과세,0,158400,반찬용기 D-855 2칸 투명 800개 1set(2박스),,1242,사용함,자체제작,반찬용기 떡 일식 양식 중식 용기 한식(분식),용기,205920,정상,0,,,,,,
737,패커스,과세,6,63360,반찬용기 105 1칸 블랙 900개 1set(2박스),,1236,사용함,자체제작,반찬용기 떡 일식 양식 중식 용기 한식(분식),용기,86660,정상,1,,,,,,
738,패커스,과세,4,63360,반찬용기 105 1칸 투명 900개 1set(2박스),,1235,사용함,자체제작,반찬용기 떡 일식 양식 중식 용기 한식(분식),용기,86660,정상,12,,,,,,
739,패커스,과세,13,55000,반찬용기 201 1칸 블랙 1000개 1set(2박스),,1234,사용함,자체제작,반찬용기 떡 일식 양식 중식 용기 한식(분식),용기,74920,정상,4,,,,,,
740,패커스,과세,5,55000,반찬용기 201 1칸 투명 1000개 1set(2박스),,1233,사용함,자체제작,반찬용기 떡 일식 양식 중식 용기 한식(분식),용기,74920,품절,8,,,,,,
741,패커스,과세,4,58300,반찬용기 202 1칸 블랙 1000개 1set(2박스),,1232,사용함,자체제작,반찬용기 떡 일식 양식 중식 용기 한식(분식),용기,80070,정상,7,,,,,,
742,패커스,과세,4,58300,반찬용기 202 1칸 투명 1000개 1set(2박스),,1231,사용함,자체제작,반찬용기 떡 일식 양식 중식 용기 한식(분식),용기,80070,정상,4,,,,,,
743,패커스,과세,2,59400,반찬용기 202-2 2칸 블랙 1000개 1set(2박스),,1230,사용함,자체제작,반찬용기 떡 일식 양식 중식 용기 한식(분식),용기,79620,정상,1,,,,,,
744,패커스,과세,2,59400,반찬용기 202-2 2칸 투명 1000개 1set(2박스),,1229,사용함,자체제작,반찬용기 떡 일식 양식 중식 용기 한식(분식),용기,79620,정상,0,,,,,,
745,패커스,과세,7,70400,반찬용기 203 1칸 블랙 800개 1set(2박스),,1228,사용함,자체제작,반찬용기 떡 일식 양식 중식 용기 한식(분식),용기,93720,정상,2,,,,,,
746,패커스,과세,6,70400,반찬용기 203 1칸 투명 800개 1set(2박스),,1227,사용함,자체제작,반찬용기 떡 일식 양식 중식 용기 한식(분식),용기,93720,정상,4,,,,,,
