,Unnamed: 0,Unnamed: 0.1,공급사,과세/면세,담기,매입가,상품명(기본),상품코드,재입고알림,제조사,카테고리,reg_카테고리,대분류,판매가,품절여부,후기
1,1,1,(주)니드코,과세,0,3080,"니드코]국산제품 정식쟁반,병원식판,분식점 돈까스쟁반 업소용 화이트 항균아트쟁반 5호",2181,사용안함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046007 : 주방용품/소모품 > 주방용품
046007002 : 주방용품/소모품 > 주방용품 > 쟁반",소모품 주방용품 쟁반,주방용품,4950,정상,0
2,2,2,(주)니드코,과세,10,1120,"니드코]QueenRose 장미 밥공기그릇 /중국집,주방,식당,가정용 깨지지 않는 단단한 멜라민그릇",2180,사용함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046007 : 주방용품/소모품 > 주방용품
046007004 : 주방용품/소모품 > 주방용품 > 식기",소모품 주방용품 식기,주방용품,1800,정상,0
3,3,3,(주)니드코,과세,0,5600,니드코 터치미 종이컵디스펜서(자석형) 종이컵보관함,2179,사용안함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046010 : 주방용품/소모품 > 주방잡화
046010003 : 주방용품/소모품 > 주방잡화 > 기타",소모품 주방용품 주방잡화,주방용품,9000,정상,0
4,4,4,(주)니드코,과세,0,42000,니드코 뉴카멜리아 사각수저함(수저통),2178,사용안함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046007 : 주방용품/소모품 > 주방용품
046007009 : 주방용품/소모품 > 주방용품 > 기타",소모품 주방용품,주방용품,65000,정상,0
5,5,5,(주)니드코,과세,1,560,니드코 뉴카멜리아 파스텔 프리미엄요지통(이쑤시개포함),2177,사용안함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046010 : 주방용품/소모품 > 주방잡화
046010003 : 주방용품/소모품 > 주방잡화 > 기타",소모품 주방용품 주방잡화,주방용품,900,정상,0
7,7,7,패커스,과세,0,21000,미소크린 점보롤 140cm x 16롤 (박스상품),2175,사용안함,미소크린,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009002 : 주방용품/소모품 > 일회용품 > 냅킨/물티슈",소모품 물티슈 냅킨 일회용품 주방용품,주방용품,23000,정상,0
8,8,8,패커스,과세,0,22500,미소크린 점보롤 180cm x 16롤 (박스상품),2174,사용안함,미소크린,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009002 : 주방용품/소모품 > 일회용품 > 냅킨/물티슈",소모품 물티슈 냅킨 일회용품 주방용품,주방용품,24800,정상,0
9,9,9,패커스,과세,0,11000,미소크린 위생식탁보 90cm x 130xm 300매 (박스상품),2173,사용안함,미소크린,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009002 : 주방용품/소모품 > 일회용품 > 냅킨/물티슈",소모품 물티슈 냅킨 일회용품 주방용품,주방용품,12100,정상,0
13,13,13,(주)니드코,과세,0,4200,니드코 뉴카멜리아 사각수저함(수저통),2169,사용안함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046007 : 주방용품/소모품 > 주방용품
046007009 : 주방용품/소모품 > 주방용품 > 기타",소모품 주방용품,주방용품,6800,정상,0
14,14,14,(주)니드코,과세,0,2620,"니드코]QueenRose 장미 냉면 짬뽕그릇 /중국집,주방,식당,가정용 깨지지 않는 단단한 멜라민그릇",2168,사용함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046007 : 주방용품/소모품 > 주방용품
046007004 : 주방용품/소모품 > 주방용품 > 식기",소모품 주방용품 식기,주방용품,4200,정상,0
15,15,15,(주)니드코,과세,0,6720,니드코 우드 다용도발판 소형 60x30x2.3 cm /국산,2167,사용안함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046008 : 주방용품/소모품 > 생활용품
046008001 : 주방용품/소모품 > 생활용품 > 발판",발판 소모품 주방용품 생활용품,주방용품,11000,정상,0
16,16,16,(주)니드코,과세,0,1680,주방 업소용 원터치 자동 가스점화기K7,2165,사용안함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046010 : 주방용품/소모품 > 주방잡화
046010002 : 주방용품/소모품 > 주방잡화 > 가스토치/점화기",소모품 점화기 가스토치 주방잡화 주방용품,주방용품,2700,정상,0
